Token,Name,Sector,Date,Round,Total Funding,Valuation,Price,MC,FDV,Exchange Amount,Binance,OKX,Coinbase,Bybit,Exchange,Description
,Mountain Protocol,,Jun 06,Series A,8000000,--,,,,0,0,0,0,0,,Stablecoin Protocol
,El Dorado,,May 29,Seed,3000000,--,,,,0,0,0,0,0,,Peer-to-peer cryptocurrency wallet
,Arch Network,,May 09,Seed,7000000,--,,,,0,0,0,0,0,,Bitcoin-Native Application Platform
,BAXUS,,May 01,Seed,5000000,--,,,,0,0,0,0,0,,Blockchain wine trading marketplace
,Mezo,,Apr 09,Series A,21000000,--,,,,0,0,0,0,0,,Bitcoin Economic Layer
,Burnt (XION),,Apr 01,--,25000000,--,,,,0,0,0,0,0,,Modular Generalized Abstraction layer
,Zama,,Mar 07,Series A,73000000,--,,,,0,0,0,0,0,,Open Source Cryptographic Tools
,io.net,,Mar 05,Series A,30000000,1000000000,,,,0,0,0,0,0,,Decentralized computation network
,Superfluid,,Feb 22,Strategic,5100000,--,,,,0,0,0,0,0,,Stream payments protocol
,GLIF,,Feb 06,Seed,4500000,--,,,,0,0,0,0,0,,Filecoin’s premier staking protocol
,Pyth Network,,"Dec 05, 2023",--,--,--,,,,0,0,0,0,0,,Oracle Solution
,Wormhole,,"Nov 29, 2023",--,225000000,2500000000,,,,0,0,0,0,0,,Web3 Universal Messaging Protocol
,Squads,,"Oct 16, 2023",Strategic,5700000,--,,,,0,0,0,0,0,,Smart account standard for SVM
,Fhenix,,"Sep 26, 2023",Seed,7000000,--,,,,0,0,0,0,0,,Blockchain powered by homomorphic encryption
,Circuit Trading,,"Aug 22, 2023",--,--,--,,,,0,0,0,0,0,,"Decentralised, multi-chain market maker"
,FastLane,,"May 23, 2023",Seed,2300000,--,,,,0,0,0,0,0,,Hybrid MEV protocol
,Tableland,,"Apr 20, 2023",--,8000000,--,,,,0,0,0,0,0,,Decentralized protocol for structured relational data
,Sei Network,,"Apr 11, 2023",Strategic,30000000,800000000,,,,0,0,0,0,0,,Layer 1 blockchain for digital assets exchange
,Lore,,"Apr 06, 2023",Strategic,4000000,--,,,,0,0,0,0,0,,The Co-Ownership Platform
,TipLink,,"Feb 21, 2023",Seed,6000000,--,,,,0,0,0,0,0,,Lightweight wallet
,sec3,,"Jan 31, 2023",Seed,10000000,--,,,,0,0,0,0,0,,Web3 Security research firm
,Heroic Story,,"Nov 17, 2022",Seed,6000000,--,,,,0,0,0,0,0,,Web3 gaming and entertainment studio
,Fluidity,,"Nov 01, 2022",Seed,1300000,--,,,,0,0,0,0,0,,Yield farming protocol
,Mercury,,"Oct 20, 2022",--,7500000,--,,,,0,0,0,0,0,,Fan engagement company for collegiate sports programs
,Spindl,,"Oct 20, 2022",Seed,7000000,--,,,,0,0,0,0,0,,Measurement and attribution in Web3
,Blackbird,,"Oct 06, 2022",Seed,11000000,--,,,,0,0,0,0,0,,Web3 loyalty and payments company
,Backpack,,"Sep 28, 2022",Strategic,20000000,--,,,,0,0,0,0,0,,Cryptocurrency exchange and multi-chain wallet
,Hubble Protocol,,"Sep 08, 2022",Strategic,5000000,--,,,,0,0,0,0,0,,Solana borrowing and lending marketplace
,Clockwork,,"Aug 30, 2022",Seed,4000000,--,,,,0,0,0,0,0,,Decentralized automation network for Solana
,Satellite IM,,"Aug 11, 2022",Seed,10500000,--,,,,0,0,0,0,0,,Decentralized communications platform
,Jito,,"Aug 11, 2022",Series A,10000000,--,,,,0,0,0,0,0,,MEV infrastructure for Solana
,Aptos,,"Jul 25, 2022",Series A,150000000,2750000000,,,,0,0,0,0,0,,Scalable layer 1 blockchain
,Farcaster,,"Jul 13, 2022",Seed,30000000,--,,,,0,0,0,0,0,,Decentralized social network
,EyesFi,,"Jun 24, 2022",--,2000000,--,,,,0,0,0,0,0,,Generative arts-focused NFT discovery platform
,Geode Finance,,"Jun 10, 2022",Seed,3000000,--,,,,0,0,0,0,0,,Multichain Staking Universe
,Delphia,,"Jun 08, 2022",Series A,60000000,--,,,,0,0,0,0,0,,Mobile-investment platform
,Seed Club,,"May 18, 2022",Strategic,15000000,--,,,,0,0,0,0,0,,The Leading Network for DAO Builders & Operators
,Community Gaming,,"Apr 07, 2022",Series A,16000000,--,,,,0,0,0,0,0,,All-in-one esports competition platform
,Strata,,"Apr 06, 2022",Seed,1500000,--,,,,0,0,0,0,0,,Token launch and management protocol
,Hivemapper,,"Apr 05, 2022",--,18000000,--,,,,0,0,0,0,0,,Map Internet of Things (IoT) Platform
,Fractal,,"Apr 02, 2022",Seed,35000000,--,,,,0,0,0,0,0,,NFT Game Market
,LayerZero,,"Mar 30, 2022",Series A1,135000000,1000000000,,,,0,0,0,0,0,,Omnichain Interoperability Protocol
,Coinbooks,,"Mar 18, 2022",--,3200000,--,,,,0,0,0,0,0,,Enterprise-grade accounting software for digital assets
,Oxio,,"Mar 16, 2022",Series B,40000000,--,,,,0,0,0,0,0,,Telecom-as-a-service (TAAS) platform
,OpenOcean,,"Mar 09, 2022",Private,2000000,--,,,,0,0,0,0,0,,DeFi and CeFi full aggregator
,Dialect,,"Mar 02, 2022",Seed,4099999,--,,,,0,0,0,0,0,,Messaging protocol for dapp notifications and wallet-to-wallet chat
,Marginfi,,"Feb 23, 2022",--,3000000,--,,,,0,0,0,0,0,,Decentralized portfolio margining protocol
,Catalog,,"Feb 23, 2022",--,7500000,--,,,,0,0,0,0,0,,Bridge-less cross-chain protocol
,Fluence,,"Feb 17, 2022",Series A,9000000,--,,,,0,0,0,0,0,,Web3 native computing platform
,Ceramic Network,,"Feb 16, 2022",Series A,30000000,--,,,,0,0,0,0,0,,The Composable Data Network
,Portals,,"Feb 11, 2022",Seed,5000000,--,,,,0,0,0,0,0,,A browser-based metaverse
,Dune,,"Feb 02, 2022",Series B,69420000,1000000000,,,,0,0,0,0,0,,Data platform for the open web
,FTX US,,"Jan 26, 2022",Series A,400000000,8000000000,,,,0,0,0,0,0,,US-regulated cryptocurrency exchange
,Galxe,,"Jan 25, 2022",--,10000000,--,,,,0,0,0,0,0,,Web3 credential data network
,01 Exchange,,"Jan 21, 2022",Seed,2200000,--,,,,0,0,0,0,0,,Decentralized derivatives protocol
,Metaplex,,"Jan 18, 2022",Strategic,46000000,--,,,,0,0,0,0,0,,Solana-based NFT infrastructure
,Web3Auth,,"Jan 12, 2022",Series A,13000000,--,,,,0,0,0,0,0,,Pluggable auth infrastructure
,Exotic markets,,"Jan 05, 2022",--,5000000,--,,,,0,0,0,0,0,,Positional market created around an open ended market question
,Render,,"Dec 21, 2021",Strategic,30000000,--,,,,0,0,0,0,0,,Rendering solution provider based on decentralized GPU
,Solscan,,"Dec 16, 2021",Seed,4000000,15000000,,,,0,0,0,0,0,,Solana blockchain explorer
,BetDEX,,"Nov 17, 2021",Seed,21000000,110000000,,,,0,0,0,0,0,,Sports betting exchange
,Cyber,,"Nov 16, 2021",Seed,10000000,50000000,,,,0,0,0,0,0,,The L2 for Social
,Beta Finance,,"Oct 29, 2021",Private,5750000,--,,,,0,0,0,0,0,,Money market protocol
,Drift,,"Oct 26, 2021",Seed,3800000,--,,,,0,0,0,0,0,,"Decentralized, fully on-chain perpetual contracts exchange based on Solana"
,Swivel Finance,,"Oct 26, 2021",Strategic,3500000,--,,,,0,0,0,0,0,,Protocol for Fixed Rate Lending and Tokenized Cash Flow
,Timeswap,,"Oct 22, 2021",Seed,--,--,,,,0,0,0,0,0,,AMM-based decentralized money market protocol
,RabbitX,,"Oct 07, 2021",--,8500000,50000000,,,,0,0,0,0,0,,Decentralised Perpetuals Trading on StarkNet
,Helium,,"Sep 13, 2021",Series C,15000000,--,,,,0,0,0,0,0,,Decentralized network of wireless Hotspots
,Eden Network,,"Sep 08, 2021",Seed,17400000,--,,,,0,0,0,0,0,,Multi-chain infrastructure provider
,UXD,,"Sep 02, 2021",Seed,3000000,30000000,,,,0,0,0,0,0,,An anti-inflation protocol
,Alethea AI,,"Aug 24, 2021",--,16000000,--,,,,0,0,0,0,0,,Building an Intelligent Metaverse
,Saber,,"Jul 27, 2021",Seed,7700000,50000000,,,,0,0,0,0,0,,Automated market maker for trading assets on Solana
,FTX,,"Jul 20, 2021",Series B,900000000,18000000000,,,,0,0,0,0,0,,Cryptocurrency exchange
,Mango,,"Jul 11, 2021",IDO,70000000,--,,,,0,0,0,0,0,,DeFi lending protocol
,Worldcoin,,"Jun 30, 2021",--,25000000,1000000000,,,,0,0,0,0,0,,Inclusive cryptocurrency network
,Solana,,"Jun 09, 2021",--,314000000,--,,,,0,0,0,0,0,,High performance underlying blockchain
,Qilin Protocol,,"May 25, 2021",Pre-Seed,800000,--,,,,0,0,0,0,0,,Permissionless derivatives trading for any assets
,AladdinDAO,,"May 25, 2021",--,--,--,,,,0,0,0,0,0,,Decentralized investment network
,MUX Protocol,,"May 21, 2021",--,7000000,--,,,,0,0,0,0,0,,Decentralized leveraged trading protocol
,Tibles,,"May 20, 2021",Seed,1140000,--,,,,0,0,0,0,0,,Digital collecting ecosystem
,Jenny,,"May 12, 2021",--,7000000,--,,,,0,0,0,0,0,,Metaverse DAO and social token on Unicly
,Filebase,,"Apr 30, 2021",Seed,2000000,--,,,,0,0,0,0,0,,Object storage platform powered by decentralized storage networks
,REALY,,"Apr 16, 2021",Seed,--,--,,,,0,0,0,0,0,,Live-to-Earn metaverse on Solana
,Coin98 Finance,,"Apr 14, 2021",Seed,1250000,25000000,,,,0,0,0,0,0,,All In One DeFi Platform
,Enso,,"Apr 13, 2021",Private,5000000,--,,,,0,0,0,0,0,,Universal DeFi dashboard
,Sommelier,,"Mar 10, 2021",--,3500000,--,,,,0,0,0,0,0,,Coprocessor for Ethereum
,Saffron Finance,,"Mar 08, 2021",--,$ Millions,--,,,,0,0,0,0,0,,Decentralised risk exchange protocol
,Oxygen,,"Feb 24, 2021",--,40000000,--,,,,0,0,0,0,0,,DeFi prime brokerage service
,Manta Network,,"Feb 02, 2021",--,1100000,--,,,,0,0,0,0,0,,Multi-modular ecosystem for ZK applications
,Furucombo,,"Jan 07, 2021",Seed,1850000,9500000,,,,0,0,0,0,0,,DeFi portal to help users optimzie DeFi strategy
,MathWallet,,"Oct 13, 2020",Series A1,7800000,--,,,,0,0,0,0,0,,The Multichain Wallet for Web3
,Stella,,"Oct 06, 2020",--,1670000,12500000,,,,0,0,0,0,0,,One-stop site for builders to start Web3 projects
,Braintrust,,"Oct 02, 2020",--,18000000,--,,,,0,0,0,0,0,,Decentralized Talent Network
,Perpetual Protocol,,"Aug 25, 2020",--,1800000,12000000,,,,0,0,0,0,0,,Decentralized perpetual contract protocol
,Audius,,"Jul 31, 2020",Strategic,3100000,--,,,,0,0,0,0,0,,Decentralized music streaming protocol
,Serum,,"Jul 30, 2020",Private,20000000,--,,,,0,0,0,0,0,,Decentralized Exchange built on Solana
,The Graph,,"Jun 30, 2020",Series A,5000000,29400000,,,,0,0,0,0,0,,Decentralized protocol for indexing and querying blockchain data
,dForce,,"Apr 15, 2020",--,1500000,--,,,,0,0,0,0,0,,A complete set of decentralized finance protocols
,Arweave,,"Nov 05, 2019",--,5000000,--,,,,0,0,0,0,0,,Decentralized Data Storage Protocol
