Token,Name,Sector,Date,Round,Total Funding,Valuation,Price,MC,FDV,Exchange Amount,Binance,OKX,Coinbase,Bybit,Exchange,Description
,Nubit,,Jun 05,Seed,8000000,--,,,,0,0,0,0,0,,Bitcoin-Native Data Availability Layer
,Babylon,,May 30,--,70000000,--,,,,0,0,0,0,0,,Bitcoin Staking Protocol
,Cysic,,May 23,Pre-A,12000000,--,,,,0,0,0,0,0,,ZK Proof Generation Layer
,Shogun,,May 15,Seed,6900000,69000000,,,,0,0,0,0,0,,Smart liquidity router
,Botanix,,May 07,Seed,8500000,--,,,,0,0,0,0,0,,Layer 2 EVM on Bitcoin
,MilkyWay,,Apr 30,Seed,5000000,--,,,,0,0,0,0,0,,Liquid staking solution for Celestia
,Movement,,Apr 25,Series A,38000000,--,,,,0,0,0,0,0,,A Network of Modular Move-Based Blockchains
,Berachain,,Apr 12,Series B,100000000,1500000000,,,,0,0,0,0,0,,EVM-equivalent L1
,Tomo,,Apr 10,Seed,3500000,--,,,,0,0,0,0,0,,SocialFi App
,Stream Finance,,Apr 10,Seed,1500000,20000000,,,,0,0,0,0,0,,DeFi Credit Markets
,Ritual,,Apr 08,Series A1,$ Millions,--,,,,0,0,0,0,0,,Decentralized AI compute platform
,Sofamon,,Apr 03,Seed,--,--,,,,0,0,0,0,0,,Cultural platform for crypto natives
,Gasp,,Apr 03,Private,5000000,80000000,,,,0,0,0,0,0,,"L2 cross-rollup protocol,"
,DappOS,,Mar 28,Series A,15300000,300000000,,,,0,0,0,0,0,,Intent execution network
ZKJ,PolyHedra,,Mar 14,--,20000000,1000000000,1.11,0,1110000000.0,9,0,1,0,0,,Infrastructure for Web3 Interoperability
,Clique,,Mar 14,Series A,8000000,--,,,,0,0,0,0,0,,Identity oracles
,Eclipse,,Mar 11,Series A,50000000,--,,,,0,0,0,0,0,,"Customizable, modular rollups"
,Sahara,,Mar 05,Seed,6000000,--,,,,0,0,0,0,0,,Decentralized AI network
,Talus,,Feb 26,--,3000000,--,,,,0,0,0,0,0,,AI blockchain platform
,Monkey Tilt,,Feb 21,--,21000000,--,,,,0,0,0,0,0,,Online gambling platform
ALT,AltLayer,,Feb 19,Strategic,14400000,180000000,0.1971,216890000.0,1970000000.0,20,1,0,0,0,,Execution and elastic scaling layer as blockchain
